"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"02.06.2019","360,87","343,56","365,15","332,65","29,25M","5,12%"
"26.05.2019","343,28","354,39","361,20","342,92","19,41M","-3,13%"
"19.05.2019","354,39","351,23","370,46","345,40","24,34M","-0,02%"
"12.05.2019","354,45","352,29","364,00","341,39","30,89M","-1,83%"
"05.05.2019","361,04","377,69","381,35","352,75","30,88M","-6,23%"
"28.04.2019","385,03","373,68","385,99","368,35","27,48M","2,72%"
"21.04.2019","374,85","359,70","384,80","359,00","40,49M","4,02%"
"14.04.2019","360,35","350,71","368,76","342,27","53,99M","2,62%"
"07.04.2019","351,14","365,11","370,12","349,36","36,81M","-3,93%"
"31.03.2019","365,49","359,00","373,41","358,51","26,10M","2,50%"
"24.03.2019","356,56","359,00","368,38","349,20","33,06M","-1,23%"
"17.03.2019","361,01","362,47","379,00","356,80","42,86M","-0,12%"
"10.03.2019","361,46","352,00","364,00","350,03","30,71M","3,39%"
"03.03.2019","349,60","359,72","362,86","342,47","32,69M","-2,16%"
"24.02.2019","357,32","367,01","371,49","354,69","29,86M","-1,57%"
