"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"02.06.2019","38,82","38,96","39,26","37,91","35,52M","1,23%"
"26.05.2019","38,35","38,13","38,97","37,18","42,18M","0,39%"
"19.05.2019","38,20","39,25","39,39","37,41","63,25M","-5,09%"
"12.05.2019","40,25","41,37","42,33","40,09","43,99M","-6,02%"
"05.05.2019","42,83","43,32","44,05","42,19","48,64M","-4,20%"
"28.04.2019","44,71","43,85","45,14","43,26","44,65M","1,75%"
"21.04.2019","43,94","44,79","45,59","43,32","55,98M","-3,22%"
"14.04.2019","45,40","42,58","45,64","42,46","44,28M","6,62%"
"07.04.2019","42,58","42,24","42,65","41,95","27,65M","0,83%"
"31.03.2019","42,23","41,08","42,34","40,74","31,28M","3,10%"
"24.03.2019","40,96","40,00","41,05","39,77","30,88M","1,31%"
"17.03.2019","40,43","39,86","41,24","39,60","32,99M","1,97%"
"10.03.2019","39,65","38,23","40,07","38,20","31,48M","3,80%"
"03.03.2019","38,20","39,33","39,33","37,94","28,00M","-3,02%"
"24.02.2019","39,39","39,87","39,91","39,00","29,89M","0,00%"
