"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"02.06.2019","32,41","28,75","32,60","27,29","552,67M","18,24%"
"26.05.2019","27,41","27,27","29,67","27,06","380,88M","3,67%"
"19.05.2019","26,44","26,98","27,59","26,03","263,52M","-3,85%"
"12.05.2019","27,50","26,98","28,46","26,10","370,40M","-1,65%"
"05.05.2019","27,96","26,72","28,10","26,03","368,26M","-0,92%"
"28.04.2019","28,22","27,90","29,15","26,61","409,78M","1,22%"
"21.04.2019","27,88","27,62","28,86","27,05","236,20M","0,72%"
"14.04.2019","27,68","27,80","28,27","26,96","176,27M","-0,61%"
"07.04.2019","27,85","28,69","28,95","27,19","283,76M","-3,90%"
"31.03.2019","28,98","26,42","29,95","25,83","461,86M","13,56%"
"24.03.2019","25,52","26,29","26,99","24,55","360,95M","-3,22%"
"17.03.2019","26,37","23,30","28,11","23,04","587,01M","13,22%"
"10.03.2019","23,29","22,15","24,15","21,98","256,88M","5,82%"
"03.03.2019","22,01","23,89","24,13","21,04","246,24M","-7,05%"
"24.02.2019","23,68","25,01","25,52","23,11","261,81M","-2,79%"
