"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"09.06.2019","32,66","34,60","35,99","32,24","105,99M","-3,91%"
"02.06.2019","33,99","32,95","35,40","32,47","115,84M","4,23%"
"26.05.2019","32,61","34,15","34,32","32,17","95,12M","-4,09%"
"19.05.2019","34,00","34,75","35,88","32,96","139,79M","-5,71%"
"12.05.2019","36,06","37,36","38,70","35,80","135,20M","-7,40%"
"05.05.2019","38,94","41,40","42,29","37,65","145,27M","-10,13%"
"28.04.2019","43,33","42,13","43,38","41,58","81,09M","2,92%"
"21.04.2019","42,10","43,14","44,65","40,77","115,01M","-3,00%"
"14.04.2019","43,40","42,17","44,05","41,20","74,56M","3,31%"
"07.04.2019","42,01","42,18","43,20","41,27","116,76M","-3,02%"
"31.03.2019","43,32","42,27","44,85","41,72","146,77M","4,81%"
"24.03.2019","41,33","41,34","41,98","39,01","146,36M","-0,70%"
"17.03.2019","41,62","39,60","44,21","39,15","228,01M","5,26%"
"10.03.2019","39,54","38,91","39,84","38,34","117,03M","2,30%"
"03.03.2019","38,65","41,88","42,15","36,57","166,39M","-7,05%"
"24.02.2019","41,58","43,80","43,99","39,80","125,34M","-2,33%"
