"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.06.2019","151,76","144,57","157,33","143,65","49,35M","4,92%"
"09.06.2019","144,64","147,76","152,36","142,84","46,20M","-0,59%"
"02.06.2019","145,50","135,91","146,88","132,60","59,73M","7,41%"
"26.05.2019","135,46","145,86","147,18","135,39","44,30M","-6,68%"
"19.05.2019","145,15","152,55","155,70","144,88","55,23M","-7,27%"
"12.05.2019","156,53","163,50","164,43","154,94","87,18M","-7,28%"
"05.05.2019","168,82","175,50","180,34","164,00","65,66M","-7,75%"
"28.04.2019","183,01","178,41","184,87","175,50","46,02M","2,76%"
"21.04.2019","178,09","185,35","192,81","173,30","57,83M","-4,41%"
"14.04.2019","186,30","189,70","190,46","183,10","39,18M","-1,95%"
"07.04.2019","190,01","189,72","193,47","187,56","53,88M","-0,49%"
"31.03.2019","190,95","183,26","191,65","180,37","66,32M","6,34%"
"24.03.2019","179,56","175,86","181,75","171,11","66,01M","1,16%"
"17.03.2019","177,50","171,08","185,00","167,86","90,83M","4,53%"
"10.03.2019","169,81","151,59","171,53","149,69","84,73M","12,73%"
"03.03.2019","150,64","158,00","158,92","144,80","51,22M","-3,71%"
"24.02.2019","156,45","162,56","165,28","153,11","58,17M","-1,72%"
