"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.06.2019","165,35","164,47","169,54","163,06","9,72M","0,49%"
"09.06.2019","164,55","159,78","165,88","158,08","9,15M","4,13%"
"02.06.2019","158,02","151,16","161,50","150,68","12,73M","2,42%"
"26.05.2019","154,28","158,98","161,71","153,79","8,16M","-3,53%"
"19.05.2019","159,93","168,23","169,90","158,17","10,43M","-5,88%"
"12.05.2019","169,92","172,81","179,43","167,46","11,26M","-4,54%"
"05.05.2019","178,00","183,21","186,23","174,81","8,55M","-5,35%"
"28.04.2019","188,06","184,51","190,65","182,81","7,17M","2,18%"
"21.04.2019","184,04","197,08","198,31","182,88","11,49M","-7,12%"
"14.04.2019","198,15","197,00","199,32","195,55","5,80M","0,61%"
"07.04.2019","196,95","189,14","196,98","188,40","7,29M","3,71%"
"31.03.2019","189,90","182,27","190,37","182,22","8,76M","4,68%"
"24.03.2019","181,41","173,92","182,09","171,37","9,06M","4,26%"
"17.03.2019","173,99","178,13","185,00","169,66","21,39M","-2,24%"
"10.03.2019","177,98","172,09","181,84","171,86","8,11M","3,61%"
"03.03.2019","171,78","184,07","185,31","167,61","10,41M","-6,03%"
"24.02.2019","182,80","181,94","184,44","179,90","6,97M","1,28%"
